,INCIDENT_ID,OFFENSE_ID,OFFENSE_CODE,OFFENSE_TYPE_ID,OFFENSE_CATEGORY_ID,FIRST_OCCURRENCE_DATE,REPORTED_DATE,GEO_LON,GEO_LAT,NEIGHBORHOOD_ID,MARIJUANA?
9570,2018462535.0,2018460000000000.0,2203,burglary-business-by-force,burglary,7/9/18 4:00,7/9/18 4:12,-104.99979609999998,39.7144194,baker,MARIJUANA
9584,2018462539.0,2018460000000000.0,2203,burglary-business-by-force,burglary,7/9/18 4:12,7/9/18 4:15,-104.9982993,39.7204252,baker,MARIJUANA
9915,2018256568.0,2018260000000000.0,2303,theft-shoplift,larceny,4/17/18 11:25,4/17/18 14:00,-104.9432584,39.7736335,elyria-swansea,MARIJUANA
10483,2018432603.0,2018430000000000.0,1208,robbery-residence,robbery,6/27/18 23:05,6/28/18 2:05,-105.0398943,39.6989953,westwood,MARIJUANA
11011,201810675.0,201811000000000.0,2303,theft-shoplift,larceny,1/4/18 17:33,1/5/18 15:23,-104.9296098,39.775110999999995,northeast-park-hill,MARIJUANA
11354,2018138546.0,2018140000000000.0,1316,threats-to-injure,public-disorder,2/27/18 15:45,2/27/18 18:35,-104.9691613,39.789683700000005,elyria-swansea,MARIJUANA
11931,2018260572.0,2018260000000000.0,2203,burglary-business-by-force,burglary,4/18/18 21:37,4/18/18 21:47,-104.85828570000001,39.7896533,montbello,MARIJUANA
12289,2018107599.0,2018110000000000.0,2203,burglary-business-by-force,burglary,2/13/18 18:00,2/14/18 14:30,-105.0324533,39.6540635,harvey-park-south,MARIJUANA
12295,2018106163.0,2018110000000000.0,1208,robbery-residence,robbery,2/13/18 21:50,2/14/18 1:03,-104.7364299,39.7802648,gateway-green-valley-ranch,MARIJUANA
12984,2018183371.0,2018180000000000.0,5312,disturbing-the-peace,public-disorder,3/18/18 18:45,3/18/18 20:36,-104.9663818,39.7817786,elyria-swansea,MARIJUANA
13169,2018183371.0,2018180000000000.0,1316,threats-to-injure,public-disorder,3/18/18 18:45,3/18/18 20:36,-104.9663818,39.7817786,elyria-swansea,MARIJUANA
13277,2018183371.0,2018180000000000.0,1313,assault-simple,other-crimes-against-persons,3/18/18 18:45,3/18/18 20:36,-104.9663818,39.7817786,elyria-swansea,MARIJUANA
13523,2018318971.0,2018320000000000.0,2203,burglary-business-by-force,burglary,5/12/18 5:03,5/12/18 7:07,-104.97884769999999,39.7700382,five-points,MARIJUANA
13850,2018177432.0,2018180000000000.0,2308,theft-from-bldg,larceny,3/14/18 21:40,3/16/18 10:25,-104.94213880000001,39.788252,elyria-swansea,MARIJUANA
16232,2018405375.0,2018410000000000.0,1006,kidnap-adult-victim,all-other-crimes,6/16/18 23:50,6/17/18 2:30,-104.97817479999999,39.78204829999999,globeville,MARIJUANA
16416,2018405375.0,2018410000000000.0,1205,robbery-street,robbery,6/16/18 23:50,6/17/18 2:30,-104.97817479999999,39.78204829999999,globeville,MARIJUANA
16471,2018199319.0,2018200000000000.0,1208,robbery-residence,robbery,3/25/18 10:45,3/25/18 12:37,-104.99297879999999,39.7448409,cbd,MARIJUANA
16481,2018198777.0,2018200000000000.0,2999,criminal-mischief-other,public-disorder,3/25/18 2:36,3/25/18 4:18,-104.90800800000001,39.7716249,northeast-park-hill,MARIJUANA
16841,2018405375.0,2018410000000000.0,3532,drug-cocaine-possess,drug-alcohol,6/16/18 23:50,6/17/18 2:30,-104.97817479999999,39.78204829999999,globeville,MARIJUANA
17121,2018119243.0,2018120000000000.0,2203,burglary-business-by-force,burglary,2/19/18 0:01,2/19/18 11:19,-104.89309180000001,39.7403133,east-colfax,MARIJUANA
17257,2018199033.0,2018200000000000.0,2203,burglary-business-by-force,burglary,3/25/18 4:00,3/25/18 7:38,-104.8451022,39.7697682,stapleton,MARIJUANA
18847,2018244597.0,2018240000000000.0,2399,theft-other,larceny,4/12/18 15:56,4/12/18 16:06,-104.9778856,39.7258215,speer,MARIJUANA
19089,2018184124.0,2018180000000000.0,2203,burglary-business-by-force,burglary,3/19/18 6:00,3/19/18 7:06,-104.8852354,39.6548489,hampden,MARIJUANA
20124,20186000131.0,2.0186e+16,2999,criminal-mischief-other,public-disorder,1/3/18 1:32,1/4/18 10:52,-104.9938237,39.7721515,globeville,MARIJUANA
21356,2018364929.0,2018360000000000.0,2404,theft-of-motor-vehicle,auto-theft,5/31/18 5:30,5/31/18 7:00,-104.9997469,39.7268059,lincoln-park,MARIJUANA
21583,2017693957.0,2017690000000000.0,2203,burglary-business-by-force,burglary,10/16/17 4:26,10/16/17 4:26,-104.91454440000001,39.6786333,virginia-village,MARIJUANA
21687,20185001625.0,2.0185e+16,3563,drug-marijuana-cultivation,drug-alcohol,4/3/18 10:23,4/3/18 10:23,-104.8948576,39.7433724,east-colfax,MARIJUANA
21715,2018363767.0,2018360000000000.0,1313,assault-simple,other-crimes-against-persons,5/30/18 16:40,5/30/18 16:45,-104.96254750000001,39.7398384,cheesman-park,MARIJUANA
21989,201880559.0,201881000000000.0,2399,theft-other,larceny,2/3/18 2:20,2/3/18 2:54,-104.9936082,39.745340500000005,cbd,MARIJUANA
22033,2018331819.0,2018330000000000.0,2399,theft-other,larceny,1/4/18 13:25,5/17/18 13:59,-104.9877423,39.684709999999995,overland,MARIJUANA
22172,201742028.0,201742000000000.0,2399,theft-other,larceny,1/19/17 21:13,1/19/17 22:04,-105.0014117,39.7176685,baker,MARIJUANA
23610,2018109937.0,2018110000000000.0,7399,public-order-crimes-other,all-other-crimes,2/15/18 11:30,2/15/18 13:30,-104.8619,39.794078999999996,montbello,MARIJUANA
24167,2018333327.0,2018330000000000.0,2203,burglary-business-by-force,burglary,5/18/18 4:10,5/18/18 4:49,-105.05237959999998,39.7117213,barnum-west,MARIJUANA
24727,2018363834.0,2018360000000000.0,3560,drug-marijuana-sell,drug-alcohol,5/30/18 17:38,5/30/18 19:56,-104.7422366,39.7963979,gateway-green-valley-ranch,MARIJUANA
26009,2018219974.0,2018220000000000.0,3563,drug-marijuana-cultivation,drug-alcohol,4/3/18 12:48,4/4/18 13:27,-105.0197304,39.6926472,ruby-hill,MARIJUANA
26855,20189518030.0,2.01895e+16,2203,burglary-business-by-force,burglary,3/5/18 0:45,3/6/18 7:26,-104.96214450000001,39.7780203,elyria-swansea,MARIJUANA
29944,201820034.0,201820000000000.0,2399,theft-other,larceny,1/9/18 15:19,1/9/18 17:13,-105.0528719,39.6919351,mar-lee,MARIJUANA
30074,201834076.0,201834000000000.0,2999,criminal-mischief-other,public-disorder,1/15/18 3:18,1/15/18 3:51,-105.0043123,39.73027329999999,lincoln-park,MARIJUANA
52358,2014164303.0,2014160000000000.0,2203,burglary-business-by-force,burglary,4/2/14 1:07,4/2/14 1:07,-104.8459901,39.78022429999999,montbello,MARIJUANA
54958,2014169319.0,2014170000000000.0,4801,police-resisting-arrest,all-other-crimes,4/4/14 17:16,4/4/14 18:59,-104.9764951,39.7573173,five-points,MARIJUANA
55294,201416656.0,201417000000000.0,2204,burglary-residence-no-force,burglary,1/10/14 7:30,1/10/14 22:59,-104.9716779,39.7683344,cole,MARIJUANA
55405,2014140417.0,2014140000000000.0,2399,theft-other,larceny,3/18/14 11:00,3/19/14 15:56,-104.8749993,39.7083319,windsor,MARIJUANA
56237,2014222026.0,2014220000000000.0,2203,burglary-business-by-force,burglary,5/2/14 2:45,5/2/14 13:25,-105.0047172,39.780685999999996,sunnyside,MARIJUANA
56251,2014140169.0,2014140000000000.0,2203,burglary-business-by-force,burglary,3/16/14 4:30,3/19/14 10:10,-104.9012805,39.6816715,indian-creek,MARIJUANA
57138,2014154445.0,2014150000000000.0,2203,burglary-business-by-force,burglary,3/27/14 4:45,3/27/14 5:25,-104.9880658,39.68177120000001,overland,MARIJUANA
57827,2014206969.0,2014210000000000.0,1205,robbery-street,robbery,4/24/14 15:00,4/24/14 15:19,-104.9148756,39.652106599999996,hampden-south,MARIJUANA
58194,2014197488.0,2014200000000000.0,2203,burglary-business-by-force,burglary,4/17/14 14:30,4/19/14 15:37,-104.9419513,39.7836419,elyria-swansea,MARIJUANA
58836,2014106013.0,2014110000000000.0,2203,burglary-business-by-force,burglary,3/1/14 4:15,3/1/14 4:25,-104.98795690000001,39.68014,overland,MARIJUANA
61438,2014189739.0,2014190000000000.0,1205,robbery-street,robbery,4/15/14 15:15,4/15/14 15:30,-104.9228941,39.6677756,goldsmith,MARIJUANA
61690,2014143842.0,2014140000000000.0,2999,criminal-mischief-other,public-disorder,3/21/14 5:25,3/21/14 5:35,-105.0257001,39.7442168,west-colfax,MARIJUANA
62300,2014213855.0,2014210000000000.0,2203,burglary-business-by-force,burglary,4/28/14 2:55,4/28/14 4:30,-104.99479469999999,39.69714929999999,athmar-park,MARIJUANA
62413,2014162783.0,2014160000000000.0,2305,theft-items-from-vehicle,theft-from-motor-vehicle,3/31/14 14:00,3/31/14 16:16,-104.9366031,39.68008629999999,university-hills,MARIJUANA
62426,2014162964.0,2014160000000000.0,1205,robbery-street,robbery,3/31/14 16:55,3/31/14 17:00,-104.9132423,39.7659685,northeast-park-hill,MARIJUANA
62490,2014129930.0,2014130000000000.0,2203,burglary-business-by-force,burglary,3/14/14 0:30,3/14/14 3:13,-105.00483759999999,39.7127744,valverde,MARIJUANA
62715,2014185242.0,2014190000000000.0,1208,robbery-residence,robbery,4/12/14 22:30,4/12/14 22:50,-105.0464373,39.6978567,westwood,MARIJUANA
62716,2014185242.0,2014190000000000.0,1006,kidnap-adult-victim,all-other-crimes,4/12/14 22:30,4/12/14 22:50,-105.0464373,39.6978567,westwood,MARIJUANA
62731,2014183592.0,2014180000000000.0,2203,burglary-business-by-force,burglary,4/12/14 1:48,4/12/14 6:31,-105.0187952,39.724351500000004,valverde,MARIJUANA
62993,2014121190.0,2014120000000000.0,2202,burglary-residence-by-force,burglary,3/9/14 13:00,3/9/14 16:01,-104.9650662,39.7625477,cole,MARIJUANA
63216,2014159511.0,2014160000000000.0,2305,theft-items-from-vehicle,theft-from-motor-vehicle,3/29/14 20:00,3/29/14 21:36,-105.03074850000002,39.6965845,mar-lee,MARIJUANA
63310,2014143690.0,2014140000000000.0,2203,burglary-business-by-force,burglary,3/21/14 1:20,3/21/14 1:25,-104.98717749999999,39.6851852,platt-park,MARIJUANA
63507,2014170968.0,2014170000000000.0,2202,burglary-residence-by-force,burglary,4/4/14 9:00,4/5/14 16:05,-104.967902,39.6794881,university,MARIJUANA
64091,2014103781.0,2014100000000000.0,2203,burglary-business-by-force,burglary,2/28/14 4:55,2/28/14 5:01,-105.0254818,39.7028968,westwood,MARIJUANA
65655,2014261528.0,2014260000000000.0,2203,burglary-business-by-force,burglary,5/22/14 20:00,5/23/14 13:41,-104.946502,39.7868232,elyria-swansea,MARIJUANA
66018,2014122555.0,2014120000000000.0,2203,burglary-business-by-force,burglary,3/9/14 14:00,3/10/14 10:36,-104.946502,39.7868232,elyria-swansea,MARIJUANA
66251,2014277269.0,2014280000000000.0,2202,burglary-residence-by-force,burglary,5/31/14 8:00,5/31/14 10:36,-104.90225559999999,39.694000200000005,washington-virginia-vale,MARIJUANA
67040,2014228067.0,2014230000000000.0,2203,burglary-business-by-force,burglary,5/3/14 16:00,5/5/14 10:09,-104.9803295,39.7865792,globeville,MARIJUANA
67547,2014331383.0,2014330000000000.0,2399,theft-other,larceny,6/18/14 9:00,6/28/14 9:41,-105.0246471,39.7217179,valverde,MARIJUANA
67709,2014287516.0,2014290000000000.0,1205,robbery-street,robbery,6/5/14 21:23,6/5/14 22:28,-104.8920629,39.7404508,east-colfax,MARIJUANA
68239,2014359258.0,2014360000000000.0,2203,burglary-business-by-force,burglary,7/11/14 23:00,7/12/14 0:45,-105.02136170000001,39.7217979,valverde,MARIJUANA
68270,2014372820.0,2014370000000000.0,2399,theft-other,larceny,7/18/14 2:30,7/18/14 21:56,-105.08768899999998,39.6296637,marston,MARIJUANA
68640,2014417596.0,2014420000000000.0,2203,burglary-business-by-force,burglary,8/10/14 5:45,8/10/14 5:52,-104.9940494,39.7719273,globeville,MARIJUANA
69434,2014389800.0,2014390000000000.0,2203,burglary-business-by-force,burglary,7/27/14 3:40,7/27/14 4:29,-104.9999768,39.7060278,athmar-park,MARIJUANA
69619,2014443683.0,2014440000000000.0,2203,burglary-business-by-force,burglary,8/22/14 19:00,8/23/14 12:09,-104.9982572,39.6925191,ruby-hill,MARIJUANA
69627,2014315606.0,2014320000000000.0,2202,burglary-residence-by-force,burglary,6/20/14 12:00,6/20/14 14:18,-105.03607779999999,39.7354926,west-colfax,MARIJUANA
69638,201431577.0,201432000000000.0,2203,burglary-business-by-force,burglary,1/19/14 3:50,1/19/14 3:50,-104.9779455,39.790865000000004,globeville,MARIJUANA
70573,2014319436.0,2014320000000000.0,2202,burglary-residence-by-force,burglary,6/22/14 3:28,6/22/14 12:31,-105.01409440000002,39.7588621,highland,MARIJUANA
70793,2014379380.0,2014380000000000.0,2203,burglary-business-by-force,burglary,7/21/14 23:30,7/21/14 23:30,-104.9438442,39.777817299999995,elyria-swansea,MARIJUANA
70853,2014434814.0,2014430000000000.0,2202,burglary-residence-by-force,burglary,8/18/14 22:00,8/18/14 23:06,-105.0354301,39.7312898,villa-park,MARIJUANA
70892,2014363601.0,2014360000000000.0,2202,burglary-residence-by-force,burglary,7/13/14 22:00,7/14/14 7:49,-104.90073190000001,39.7550836,stapleton,MARIJUANA
70970,2014377583.0,2014380000000000.0,2203,burglary-business-by-force,burglary,7/20/14 18:00,7/21/14 2:47,-105.0039485,39.7299341,lincoln-park,MARIJUANA
71236,2014279145.0,2014280000000000.0,2203,burglary-business-by-force,burglary,5/30/14 14:30,6/1/14 7:36,-105.00022990000001,39.7069211,athmar-park,MARIJUANA
71272,2014294631.0,2014290000000000.0,2205,burglary-business-no-force,burglary,6/9/14 1:00,6/9/14 17:16,-104.84850809999999,39.79067020000001,montbello,MARIJUANA
71497,2014323156.0,2014320000000000.0,2203,burglary-business-by-force,burglary,6/24/14 1:20,6/24/14 9:26,-104.99983390000001,39.7694511,sunnyside,MARIJUANA
72143,2014351759.0,2014350000000000.0,2203,burglary-business-by-force,burglary,7/7/14 19:00,7/8/14 5:56,-105.0002023,39.695319399999995,ruby-hill,MARIJUANA
72358,201433588.0,201434000000000.0,2205,burglary-business-no-force,burglary,1/19/14 3:00,1/20/14 12:15,-105.00692099999999,39.779473700000004,sunnyside,MARIJUANA
72954,2014323250.0,2014320000000000.0,2203,burglary-business-by-force,burglary,6/23/14 18:00,6/24/14 9:42,-104.84850809999999,39.79067020000001,montbello,MARIJUANA
73124,201439276.0,201439000000000.0,2203,burglary-business-by-force,burglary,1/23/14 1:30,1/23/14 13:27,-105.00204540000001,39.724056700000006,baker,MARIJUANA
73134,2014407622.0,2014410000000000.0,2203,burglary-business-by-force,burglary,8/4/14 22:30,8/5/14 10:03,-104.9761134,39.788416299999994,globeville,MARIJUANA
73590,2014364360.0,2014360000000000.0,2303,theft-shoplift,larceny,7/12/14 18:00,7/14/14 17:34,-104.98958259999999,39.743376700000006,cbd,MARIJUANA
73744,2014320627.0,2014320000000000.0,2203,burglary-business-by-force,burglary,6/21/14 14:30,6/22/14 22:33,-105.0047172,39.780685999999996,sunnyside,MARIJUANA
